Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:09.302        WT5300004357        -0.493        -1.196        -0.184        4.882        -4.028        66.772        -107.616        67.549        128.128        571        -222        -661        38.77        3.98        -75        13006
 2022-05-07 13:13:09.310        WT5300004430        -0.811        -0.166        0.003        -12.329        -11.596        -10.070        91.527        50.828        132.017        314        -153        82        36.41        4.01        -65        13006
 2022-05-07 13:13:09.331        WT5300004408        -0.837        0.046        -0.002        -15.991        7.385        -5.920        -9.678        84.309        -84.984        412        70        -289        34.89        3.99        -66        13006
 2022-05-07 13:13:09.339        WT5300004331        -0.862        0.166        -0.076        2.319        20.263        -45.349        103.057        43.566        28.053        458        -177        -317        39.57        3.95        -77        13006
 2022-05-07 13:13:09.354        WT5300004315        -0.888        -0.378        -0.033        70.678        -134.521        -1.586        -128.974        62.440        168.953        252        356        -367        36.94        3.89        -72        13006
 2022-05-07 13:13:09.394        WT5300004344        1.008        0.824        0.235        20.263        10.131        -36.437        144.909        -70.620        -137.351        -483        365        0        36.40        3.94        -81        13006
 2022-05-07 13:13:09.386        WT5300004430        -0.971        -0.081        -0.015        44.494        -15.319        -79.589        86.539        57.854        132.698        326        -129        79        36.43        4.01        -65        13006
 2022-05-07 13:13:09.407        WT5300004357        -0.668        -1.144        0.018        -7.202        -5.737        -28.625        -106.171        67.159        129.506        569        -250        -662        38.80        3.98        -75        13006
 2022-05-07 13:13:09.432        WT5300004408        -0.899        0.122        0.148        31.921        52.062        -0.976        -40.621        87.802        -113.851        413        76        -264        34.89        3.99        -66        13006
 2022-05-07 13:13:09.439        WT5300004331        -1.119        0.337        -0.039        -5.126        37.414        -121.154        110.654        52.338        34.821        449        -126        -296        39.54        3.95        -77        13006
 2022-05-07 13:13:09.455        WT5300004315        -1.015        -0.370        -0.400        20.568        -64.392        -21.484        -108.023        64.808        -171.035        218        354        -438        36.97        3.89        -72        13006
 2022-05-07 13:13:09.487        WT5300004430        -1.081        0.095        0.004        -34.118        26.245        -165.527        85.940        71.268        135.818        342        -43        89        36.41        4.01        -66        13006
